Category,Type,LCOE Low,LCOE,LCOE High,Source
Solar,Concentrated PV,5.4,0.0,9.0,https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/cpv-report-ise-nrel.pdf
Solar,Solar Updraft Tower,13.5,0.0,37.5,https://architecture.mit.edu/sites/architecture.mit.edu/files/attachments/lecture/SolarUpdraftTower_Project.pdf
Solar,Solar Updraft Tower,0.0,6.2,0.0,https://pdfs.semanticscholar.org/fe60/8c8bb4063f714e6696c191af3ef3e35e7f08.pdf
Solar,Space-Based Solar,3.0,0.0,10.0,https://space.nss.org/media/NSS-JOURNAL-New-Developments-in-Space-Solar-Power.pdf
Solar,Distributed Solar - Small,8.28,0.0,13.34,https://www.ise.fraunhofer.de/content/dam/ise/en/documents/publications/studies/EN2018_Fraunhofer-ISE_LCOE_Renewable_Energy_Technologies.pdf
Solar,Distributed Solar - Small,5.25,0.0,7.5,http://www.co2crc.com.au/wp-content/uploads/2016/04/LCOE_Report_final_web.pdf
Solar,Distributed Solar - Small,16.0,0.0,26.7,https://www.lazard.com/media/450784/lazards-levelized-cost-of-energy-version-120-vfinal.pdf
Solar,Distributed Solar - Large,5.635,0.0,9.545,https://www.ise.fraunhofer.de/content/dam/ise/en/documents/publications/studies/EN2018_Fraunhofer-ISE_LCOE_Renewable_Energy_Technologies.pdf
Solar,Distributed Solar - Large,8.1,0.0,17.0,https://www.lazard.com/media/450784/lazards-levelized-cost-of-energy-version-120-vfinal.pdf
Solar,Distributed Solar - Large,5.25,0.0,6.0,http://www.co2crc.com.au/wp-content/uploads/2016/04/LCOE_Report_final_web.pdf
Solar,Community Solar,0.0,9.87,0.0,https://www.mdpi.com/2071-1050/9/6/910/htm
Solar,Community Solar,7.3,0.0,14.5,https://www.lazard.com/media/450784/lazards-levelized-cost-of-energy-version-120-vfinal.pdf
Wind,Onshore Wind,2.0,5.0,10.0,https://www.irena.org/publications/2018/Jan/Renewable-power-generation-costs-in-2017
Wind,Onshore Wind,4.6,0.0,9.315,https://www.ise.fraunhofer.de/content/dam/ise/en/documents/publications/studies/EN2018_Fraunhofer-ISE_LCOE_Renewable_Energy_Technologies.pdf
Wind,Onshore Wind,3.5,0.0,8.6,https://www.nrel.gov/docs/fy17osti/67645.pdf
Wind,Onshore Wind,3.89,5.59,7.29,https://www.eia.gov/outlooks/aeo/pdf/electricity_generation.pdf
Wind,Onshore Wind,2.9,0.0,5.6,https://www.lazard.com/media/450784/lazards-levelized-cost-of-energy-version-120-vfinal.pdf
Wind,Onshore Wind,4.5,0.0,5.625,http://www.co2crc.com.au/wp-content/uploads/2016/04/LCOE_Report_final_web.pdf
Wind,Onshore Wind,6.0,0.0,8.0,https://openei.org/apps/TCDB/
Wind,Offshore Wind,7.0,8.0,10.0,https://www.irena.org/publications/2018/Jan/Renewable-power-generation-costs-in-2017
Wind,Offshore Wind,0.0,16.0,0.0,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/66776/5584-offshore-wind-cost-reduction-task-force-report.pdf
Wind,Offshore Wind,14.2,0.0,18.4,http://energy.soutron.net/Library/Download.aspx?id=4572
Wind,Offshore Wind,0.0,9.2,0.0,https://www.lazard.com/media/450784/lazards-levelized-cost-of-energy-version-120-vfinal.pdf
Wind,Offshore Wind,0.0,10.0,0.0,https://www.nrel.gov/docs/fy17osti/67675.pdf
Wind,Offshore Wind,11.5,0.0,24.0,https://www.nrel.gov/docs/fy17osti/67645.pdf
Wind,Offshore Wind,0.0,17.0,0.0,http://www.cleanenergypipeline.com/Resources/CE/ResearchReports/Offshore%20Wind%20Project%20Cost%20Outlook.pdf
Wind,Offshore Wind,11.55,13.04,15.88,https://www.eia.gov/outlooks/aeo/pdf/electricity_generation.pdf
Wind,Offshore Wind,12.0,0.0,17.0,https://openei.org/apps/TCDB/
Wind,Offshore Wind,8.625,0.0,15.87,https://www.ise.fraunhofer.de/content/dam/ise/en/documents/publications/studies/EN2018_Fraunhofer-ISE_LCOE_Renewable_Energy_Technologies.pdf
Wind,Offshore Wind,0.0,5.0,0.0,https://www.mckinsey.com/business-functions/sustainability/our-insights/winds-of-change-why-offshore-wind-might-be-the-next-big-thing
Wind,Offshore Wind,0.0,12.0,0.0,https://www.carbontrust.com/resources/reports/technology/offshore-wind-power/
Wind,Deep Offshore,10.4,0.0,15.1,https://www.oecd-nea.org/ndd/pubs/2015/7057-proj-costs-electricity-2015.pdf
Wind,Floating Offshore,11.4,0.0,18.9,https://www.oecd-nea.org/ndd/pubs/2015/7057-proj-costs-electricity-2015.pdf
Wind,Offshore Vertical Axis,11.0,0.0,17.6,https://arpa-e.energy.gov/sites/default/files/3.%20Ennis_Sandia_Presentation.pdf
Wind,High Altitude,0.0,3.9,0.0,https://ore.catapult.org.uk/analysisinsight/an-introduction-to-airborne-wind/
Wind,High Altitude,0.0,8.988,0.0,https://cordis.europa.eu/project/rcn/96067/reporting/en
Wind,High Altitude,0.0,13.78,0.0,https://www.sciencedirect.com/science/article/pii/S1364032116304282
Wind,Wind Microgrid,0.0,10.56,0.0,https://www.mdpi.com/2071-1050/9/6/910/htm
Geothermal,Geothermal,7.1,0.0,11.1,https://www.lazard.com/media/450784/lazards-levelized-cost-of-energy-version-120-vfinal.pdf
Geothermal,Geothermal,3.0,7.0,14.0,https://www.irena.org/publications/2018/Jan/Renewable-power-generation-costs-in-2017
Geothermal,Geothermal,2.2,0.0,45.2,https://www.nrel.gov/docs/fy17osti/67645.pdf
Geothermal,Geothermal,3.82,4.1,4.65,https://www.eia.gov/outlooks/aeo/pdf/electricity_generation.pdf
Geothermal,Hydrothermal,5.0,0.0,8.0,https://openei.org/apps/TCDB/
Geothermal,Flash,3.9,0.0,20.1,https://www.worldenergy.org/wp-content/uploads/2013/09/WEC_J1143_CostofTECHNOLOGIES_021013_WEB_Final.pdf
Geothermal,Binary,8.9,0.0,27.6,https://www.worldenergy.org/wp-content/uploads/2013/09/WEC_J1143_CostofTECHNOLOGIES_021013_WEB_Final.pdf
Geothermal,Blind Geothermal System,8.0,0.0,10.0,https://openei.org/apps/TCDB/
Geothermal,Enhanced Geothermal System,4.6,0.0,57.0,https://aip.scitation.org/doi/10.1063/1.4865575
Geothermal,Enhanced Geothermal System,9.2,0.0,27.0,https://www.oecd-nea.org/ndd/pubs/2015/7057-proj-costs-electricity-2015.pdf
Geothermal,Enhanced Geothermal System,7.0,0.0,13.0,https://openei.org/apps/TCDB/
Geothermal,Hydrothermal Vents,6.7,0.0,7.3,https://pangea.stanford.edu/ERE/db/WGC/papers/WGC/2015/37011.pdf
MHK,MHK,23.0,0.0,25.0,https://openei.org/apps/TCDB/
MHK,Tidal,0.0,16.0,0.0,https://www.carbontrust.com/resources/reports/technology/accelerating-marine-energy/
MHK,Tidal,8.0,0.0,12.0,https://s3-eu-west-1.amazonaws.com/assets.eti.co.uk/legacyUploads/2015/02/Insights-into-Tidal-Stream-energy.pdf
MHK,Tidal,26.3,45.1,104.9,https://www.worldenergy.org/wp-content/uploads/2013/09/WEC_J1143_CostofTECHNOLOGIES_021013_WEB_Final.pdf
MHK,Tidal,12.4,0.0,22.1,https://www.oecd-nea.org/ndd/pubs/2015/7057-proj-costs-electricity-2015.pdf
MHK,Tidal,0.0,16.0,0.0,https://oceanenergy-sweden.se/wp-content/uploads/2018/03/cost-of-energy-for-ocean-energy-technologies-may-2015.pdf
MHK,Wave,28.4,49.6,105.8,https://www.worldenergy.org/wp-content/uploads/2013/09/WEC_J1143_CostofTECHNOLOGIES_021013_WEB_Final.pdf
MHK,Wave,14.3,0.0,35.1,https://www.oecd-nea.org/ndd/pubs/2015/7057-proj-costs-electricity-2015.pdf
MHK,Wave,10.0,0.0,15.0,https://oceanenergy-sweden.se/wp-content/uploads/2018/03/cost-of-energy-for-ocean-energy-technologies-may-2015.pdf
MHK,OTEC,7.0,0.0,19.0,https://www.irena.org/DocumentDownloads/Publications/Ocean_Thermal_Energy_V4_web.pdf
MHK,OTEC,10.0,0.0,18.0,https://oceanenergy-sweden.se/wp-content/uploads/2018/03/cost-of-energy-for-ocean-energy-technologies-may-2015.pdf
MHK,Osmotic,7.0,0.0,13.0,https://www.sciencedirect.com/science/article/pii/S037673881300865X
MHK,Osmotic,0.0,5.6,0.0,https://www.mdpi.com/1996-1073/11/11/3118/pdf-vor
MHK,Osmotic,11.0,0.0,30.0,https://www.irena.org/documentdownloads/publications/salinity_energy_v4_web.pdf
Fuel Cells,Fuel Cell,10.0,0.0,15.0,https://openei.org/apps/TCDB/
Fuel Cells,Fuel Cell,10.3,0.0,15.2,https://www.lazard.com/media/450784/lazards-levelized-cost-of-energy-version-120-vfinal.pdf
Fuel Cells,Solid Oxide Fuel Cells,6.5,0.0,12.7,https://www.oecd-nea.org/ndd/pubs/2015/7057-proj-costs-electricity-2015.pdf
Fuel Cells,Molten Carbonate Fuel Cells,8.1,0.0,16.8,https://www.oecd-nea.org/ndd/pubs/2015/7057-proj-costs-electricity-2015.pdf
